DATA,GIORNO,PILLAR,CONTENT_TYPE,TOPIC,AUDIENCE,BEST_TIME,HASHTAGS
06-29,Lunedì,PRODUCT,Reel,Summer Collection 2026 showcase,20-35F,18:00,#SILKinCOM #fashion #moda #summercollection #estate2026 #ootd #outfitinspo #newcollection #shoppingonline #styleinspo #italianstyle #summerstyle #fashionreels #trendy
06-30,Martedì,EDUCATION,Carousel,5 styling tips per l'estate,25-40F,13:00,#SILKinCOM #stylingtips #moda #fashiontips #estate2026 #ootd #howtostyle #fashionhacks #outfitideas #summerstyle #consiglidistile #lookoftheday #styleguide
07-01,Mercoledì,LIFESTYLE,Stories,Dietro le quinte: shooting estate,All,11:00,#SILKinCOM #bts #behindthescenes #moda #fashionshoot #estate2026 #dietrolequinte #brandstory #teamwork #fashionlife #madeinitaly #community #instafashion
07-02,Giovedì,PRODUCT,Reel,Linen Edit: capi in lino freschi,25-45F,19:00,#SILKinCOM #linen #lino #moda #summerfashion #estate2026 #ootd #capidilino #sustainablefashion #naturalfabrics #outfitinspo #italianstyle #fashionreels #linenstyle
07-03,Venerdì,PROMO,Post,Weekend Flash Sale -20% solo 48h,All,18:30,#SILKinCOM #sale #saldi #flashsale #promo #sconti #shoppingonline #moda #estate2026 #limitedtime #fomo #offerta #fashiondeals #weekendsale
07-04,Sabato,LIFESTYLE,Reel,Outfit da spiaggia: 3 look,20-35F,10:00,#SILKinCOM #beachoutfit #beachwear #moda #summervibes #estate2026 #ootd #weekendstyle #marestyle #vacationoutfit #outfitinspo #summerstyle #fashionreels #spiaggia
07-05,Domenica,EDUCATION,Carousel,Guida colori estate 2026,30-45F,17:00,#SILKinCOM #colortrends #moda #fashiontips #estate2026 #coloristagionali #styleguide #howtostyle #outfitideas #tendenze2026 #fashioneducation #consiglidistile #lookoftheday
07-06,Lunedì,PRODUCT,Stories,Restock best-seller: torna il top più amato,20-35F,12:00,#SILKinCOM #restock #bestseller #moda #backinstock #estate2026 #ootd #shoppingonline #musthave #newcollection #italianstyle #instafashion #tornadisponibile
07-07,Martedì,EDUCATION,Reel,Come abbinare gli accessori estivi,25-40F,13:00,#SILKinCOM #accessori #accessories #fashiontips #moda #estate2026 #howtostyle #stylingtips #outfitinspo #summerstyle #fashionhacks #lookoftheday #fashionreels #consiglidistile
07-08,Mercoledì,PRODUCT,Carousel,New Arrivals: drop settimanale,20-30F,18:00,#SILKinCOM #newarrivals #newin #moda #newcollection #estate2026 #ootd #shoppingonline #drop #nuoviarrivi #styleinspo #italianstyle #instafashion #trendy
07-09,Giovedì,LIFESTYLE,Stories,Customer spotlight: i vostri look,All,19:00,#SILKinCOM #customerspotlight #ugc #moda #community #estate2026 #ootd #realcustomers #fashionlovers #styleinspo #repost #instafashion #lookoftheday
07-10,Venerdì,PRODUCT,Reel,Beachwear capsule in 30 secondi,20-35F,20:00,#SILKinCOM #beachwear #capsule #moda #summerfashion #estate2026 #ootd #vacationstyle #marestyle #outfitinspo #summerstyle #fashionreels #shoppingonline #trendy
07-11,Sabato,PROMO,Post,Mid-Season Sale: fino a -30%,All,18:30,#SILKinCOM #midseasonsale #saldi #sale #promo #sconti #moda #estate2026 #shoppingonline #fashiondeals #offerta #limitedtime #fomo #saldiestivi
07-12,Domenica,EDUCATION,Reel,Capsule wardrobe estate: 7 capi 10 look,25-40F,11:00,#SILKinCOM #capsulewardrobe #moda #fashiontips #estate2026 #minimalstyle #howtostyle #outfitideas #stylingtips #summerstyle #guardarobaessenziale #lookoftheday #fashionreels
